producto,nutriscore,nova,perfil_aditivos,ns_num,cluster_final
"Houmous lentille corail, patate douce & coriandre",a,3,0,1,0
TOASTIE SOFT THICK WHITE,c,4,0,3,0
HP Sauce,d,4,0,4,3
Peanut,e,4,3,5,2
Mustard,e,4,0,5,3
"Smoothie mangue, fruit de la passion & pomme",e,1,0,5,1
Alvalle Gazpacho vert 1 L,a,3,0,1,0
Schoko Bons,e,4,0,5,3
Aquarius Naranja,d,4,3,4,2
NESTLE CHOKELLA Céréales - Boite de 350g,d,4,0,4,3
Ricola réglisse,b,4,0,2,0
Cottage cheese,b,4,0,2,0
Hulala Chantilly Mijlocie,e,4,0,5,3
Original,e,4,0,5,3
Tortilla NACHIPS Original,c,3,0,3,0
Champiñones laminados en conserva,a,3,0,1,0
Salsa Barbacoa,d,4,3,4,2
Tomate,d,3,0,4,3
Pan tostado ajo y perejil,d,3,0,4,3
Côté comptoir,b,4,0,2,0
Salsa de Soja Tamari,e,3,0,5,3
soja sucrée,e,1,0,5,1
Lay's Potato Chips,e,4,0,5,3
Fraidoux,d,4,0,4,3
Italian Tomato Passata,b,1,0,2,1
Original Salted Peanuts,c,3,0,3,0
Crunchy Toasts Seigle complet,b,3,0,2,0
Tropicana Multivitamines,e,1,0,5,1
Muszynianka 1.5,a,1,0,1,1
Chocolat Noir Honduras 70%,e,3,0,5,3
Biscottes sans sucres ajoutés,c,4,0,3,0
Thon entier à l'huile végétale,d,3,0,4,3
Tam,a,1,0,1,1
Galletas Relieve,d,4,0,4,3
Queso Crema Finas Hierbas,d,4,0,4,3
Aloo bhujia,e,3,0,5,3
4 Brioch'Bagel,d,4,0,4,3
PEACH-PASSION FRUIT Quark-Based,a,4,3,1,2
Blossom Honey,d,2,0,4,3
Quinoa parfumé sachet,b,3,0,2,0
Oikos,c,1,0,3,1
Oeufs plein air,a,1,0,1,1
Muesli fraises,c,4,0,3,0
Gâche tranchrée bio,d,4,0,4,3
BIO Organic COTTAGE CHEESE,b,3,0,2,0
MIXED NUTS,c,1,0,3,1
Skyr citron,b,3,0,2,0
Ravioles à poêler au fromage frais et Basilic de Provence sachet,c,4,0,3,0
Tacos  wafer,e,1,0,5,1
Butter Chicken,c,4,0,3,0
stick crackers extra spicy,e,1,0,5,1
Piémontaise jambon,c,4,0,3,0
Flakes épeautre,a,1,0,1,1
Crème cuisine végétale coco BIO - 20cL,c,4,0,3,0
Barquette de chocolate,d,4,0,4,3
Céréales Muesli croustillant fruits secs et graines de courge - 500g,c,3,0,3,0
Perle de Lait Coco x 4,c,4,0,3,0
HAZELNUT BUTTER DARK CHOCOLATE,e,3,0,5,3
Sabor casero,d,4,0,4,3
Boulettes au boeuf,c,3,0,3,0
Patatas fritas clásicas,d,3,0,4,3
grec boire,e,4,0,5,3
Merlu blanc boulghour purée aux carottes,c,4,0,3,0
SKYR VANILLE 4x100g,a,4,0,1,0
Fine chapelure de pain,c,3,0,3,0
Multigrain Cheerios,c,4,0,3,0
Le moelleux,d,3,0,4,3
Cherry Bakewell Oat Boosts,c,4,0,3,0
HERTA LE BON PARIS Jambon broche x4 - 140g,d,4,0,4,3
Chorizo végétal & gourmand,b,4,0,2,0
Himbeermarmelade,d,4,0,4,3
4 Saucisses 100% végétales,c,4,0,3,0
Patatas fritas sabor campestre,d,4,0,4,3
Magnum Vanille & Chocolat Classic,e,4,0,5,3
Muffins complet,a,4,0,1,0
Babicao,c,4,0,3,0
BEYPAZARI SADE SODA,a,1,0,1,1
Smooth Peanut Butter,a,1,0,1,1
Bio-Haferfrink ohne Zuckerzusatz,c,4,0,3,0
Beurre doux bio,e,2,0,5,3
Lben Pasteurisé,b,1,0,2,1
Lay’s saveur emmental,c,4,0,3,0
Quinoa - blé & noisettes 250g,a,3,0,1,0
Margarine allégée au tournesol 60% Mat. Gr. - barquette,c,4,0,3,0
Mini Rollos Chocolat au Lait & Coeur fondant au Lait,e,4,0,5,3
LOTUS BISCOFF Speculoos Fourré - Crème saveur Vanille - 150g,e,4,0,5,3
Lindahls Pro+,c,3,0,3,0
Orangina zero,b,4,3,2,2
Pain au seigle complet Vollkornbrot BIO - 500g,a,3,0,1,0
بنينة,c,4,0,3,0
Cuor di Mela Mulino Bianco,d,4,0,4,3
Arroz Redondo,b,1,0,2,1
Barritas de galleta rellenas de arándanos,e,1,0,5,1
Corn flakes bio,b,3,0,2,0
SPANISH STYLE GRAINS,b,3,0,2,0
Doritos,c,4,0,3,0
seeded Bread,c,3,0,3,0
Liebig légumes et kiri,c,4,0,3,0
Filets de Sardines,b,3,0,2,0
Huile d'olive vierge extra,b,2,0,2,1
MYRTILLE,d,4,0,4,3
Linguine Façon Bolognaise Végétale,b,4,0,2,0
Pitted Ripe Olives,d,3,0,4,3
Haricots rouges,b,3,0,2,0
Farfalle qualité supérieure 500g,a,1,0,1,1
Browny - Be,e,1,0,5,1
Seitan,c,4,0,3,0
Penne Rigate,a,1,0,1,1
Cappelletti Jambon Cru,c,4,0,3,0
Baked Beans in a rich tomato sauce,a,4,0,1,0
Filets de harengs fumés -25% de sel,e,4,0,5,3
Calendrier de l'avent au chocolat,e,4,0,5,3
Bocal 280 g Tomates séchées,e,3,0,5,3
Star tomat sachy,c,4,0,3,0
Fromage de Chevre Le Saínte-Maure,d,3,0,4,3
ayris,a,1,0,1,1
PATE BRISEE BIO MGV 230g,e,4,0,5,3
Cheeky Chocolate Chip,c,4,0,3,0
Francine pain multi céréales,c,4,0,3,0
Tortillas de trigo integrales,a,4,0,1,0
Udon Soja & Sésame,c,4,0,3,0
PISTACCHIO con pistacchi tostati e salati,e,4,0,5,3
Mini fourrés Cacao,e,4,0,5,3
pechuga de pavo el pozo 1954,b,4,0,2,0
"Rougail saucisse, riz blanc et lentilles cuisinés",b,4,0,2,0
LIMÓN& YUZU,c,4,0,3,0
Breaksta,e,4,0,5,3
Desconocido,a,1,0,1,1
Rice Box Poulet Tikka Massala Riz Basmati,c,4,0,3,0
Desconocido,c,4,0,3,0
Mayonesa,c,4,0,3,0
Houmous Tahini au sésame,c,3,0,3,0
175G CARAMELS WERTHER'S,e,4,0,5,3
L'original lait,e,4,0,5,3
Fanta orange slim 25cl,e,1,0,5,1
Hawai Tropical,d,4,2,4,2
ketchup pikarome 240 g,e,4,0,5,3
Ricola fleurs de sureau,b,4,3,2,2
Noir Pistaches Caramélisées,e,4,0,5,3
Original,d,4,0,4,3
Cote d'or noir truffé,e,4,0,5,3
Passata verace,a,3,0,1,0
Huile d'olive vierge extra,b,2,0,2,1
Cocktail Mezcla,d,4,0,4,3
Wasabi peanuts,d,4,0,4,3
Knorr Soupe Liquide Douceur de Potiron Chataigne,b,4,0,2,0
Red Bull Blue Edition,e,4,0,5,3
Mendiant de luxe,e,3,0,5,3
Lait de brebis demi-écrémé,b,1,0,2,1
High Protein Chocolate Pudding,a,4,3,1,2
Lentilles corail bio 500g,b,1,0,2,1
Peanut Butter Pretzels,d,4,0,4,3
Ideal Aroma Caramel Flan,d,4,3,4,2
Maíz dulce,b,3,0,2,0
Poêlée a la Parisienne,a,3,0,1,0
Momo white,e,4,0,5,3
Comple,b,4,0,2,0
Grissini artigianali Sésame,d,3,0,4,3
Khayrat 200g,a,4,0,1,0
Cookilate,d,4,0,4,3
Cashews roasted & salted,c,3,0,3,0
300G POLKA HARIBO,e,4,1,5,3
Multi-Grain Hoops,a,4,0,1,0
,e,1,0,5,1
Crema cacahuete 100%,a,1,0,1,1
"Purée de légumes verts (haricots verts, brocolis, petit pois)",a,1,0,1,1
Madagascar Dark Chocolate tummasuklaa,e,4,0,5,3
Sauce pizza,c,1,0,3,1
Pâte brisée,e,3,0,5,3
Beyond Burger,b,4,0,2,0
Riz à la cantonnaise,b,4,0,2,0
Eis Mandel,e,4,0,5,3
Haselnusscreme,e,4,0,5,3
Confiture myrtille et cassis intenses,d,4,0,4,3
Croquants aux pépites de chocolat,e,1,0,5,1
Corn flakes,d,3,0,4,3
,a,1,0,1,1
Pesto alla genovese,e,4,0,5,3
Goûters Fourrés goût chocolat,d,4,0,4,3
Chocolat au lait,e,4,0,5,3
"Прясно краве мляко 3,7%",c,1,0,3,1
Oméga 3,b,2,0,2,1
Riz coco curry et poulet rôti,c,4,0,3,0
Ramen express - Nouilles de riz demi-complet,b,1,0,2,1
Batido cacao 0% azúcares añadidos,d,4,0,4,3
Crème cuisine végétale avoine BIO -20 cL,b,4,0,2,0
Confiture 4 fruits rouges,d,4,0,4,3
Ricola douceur de miel,e,4,0,5,3
Sauce salade originale,e,4,3,5,2
Amora Moutarde Fine & Forte Flacon Souple 460g,e,4,0,5,3
Sundried Cherry Tomato & Basil,a,3,0,1,0
Ratatouille,a,4,0,1,0
Granola con Avena Mixed Berries,b,4,0,2,0
Poule vermicelles et petits légumes,c,4,0,3,0
Nocciolata l'originale,e,4,0,5,3
"Céréales Corn Flakes, 500g",c,4,0,3,0
Falafels,a,3,0,1,0
,c,3,0,3,0
Chips artisanales,b,3,0,2,0
Mermelada Arándanos,d,4,0,4,3
Zartes Blätterteiggebäck,e,4,0,5,3
Confitura de  melocotón 0%,b,4,0,2,0
Batatas Fritas Sabor Serrano,d,4,0,4,3
Bio pommes,a,3,0,1,0
Babybel,d,3,0,4,3
Boisson amande gourmande,b,1,0,2,1
NESQUIK Choco Nutty goût Choco Noisette Poudre Cacaotée 350g,d,4,0,4,3
Dahl de lentilles corail,a,3,0,1,0
"Salade veggie boulgour, légumes, lentilles, graines de courge",b,3,0,2,0
Le Yaourt Mandarine Citron Vert,c,4,0,3,0
Quenelles de brochet sauce Nantua,c,4,0,3,0
Kinder Schokolade,e,4,0,5,3
Veggie Straws,d,3,0,4,3
